Frequency (kHz),Shotnoise calibrated squeezing (dB),Correlation calibrated squeezing (dB)
19.968,4.215679260030154,3.459592403645717
20.096,4.010204139416672,3.292416902079344
20.224,3.853727929415865,3.2087346388043243
20.352,3.766284665473003,3.096289292093362
20.48,3.5976654730745405,2.9349756731735974
20.608,3.433930847538154,2.6895995574967952
20.736,4.2691916836406225,2.8248685565398524
20.864,4.2818480817367846,2.659442062817577
20.992,3.0637305848901972,2.431351669648893
21.12,2.944210137561796,2.2490941076751176
21.248,2.89294386189421,2.0772311171056526
21.376,2.8594626049244725,1.986560244527427
21.504,2.6264135815632654,2.0133737015464352
21.632,2.281462054744098,1.8073496794548025
21.76,2.137042535583163,1.7084630111001495
21.888,1.9881377310805357,1.5957681424480765
22.016000000000002,1.8467636297159051,1.3590957851511751
22.144000000000002,1.6966696363063032,1.2634985260573828
22.272000000000002,1.5235131956456103,1.3121756044113293
22.400000000000002,1.4887547542508015,1.2245534288519302
22.528,1.4998898233618363,1.159702649329994
22.656,1.422646433454955,1.2501790706994285
22.784,1.3990190723147582,1.183647238199014
22.912,1.3537482375542609,1.045409987702213
23.04,1.3873247161536273,0.9504034614199987
23.168,1.2834543014509654,0.9443024630081197
23.296,1.2314022603676715,0.9114202550104676
23.424,1.1388294346923749,0.8696388505268862
23.552,0.9522880944256162,0.7436947529144884
23.68,0.8531724509455058,0.6951951309273513
23.808,0.9146886125484877,0.7033751964022057
23.936,1.0220371907173482,0.7321797383472523
24.064,1.0312245363393988,0.7361598564415179
24.192,0.9126297040131083,0.6935527733191886
24.32,0.733133524681948,0.5570298921414295
24.448,0.6755568173063471,0.4996174659512703
24.576,0.7964410402644466,0.5109147482098602
24.704,0.8080097491795573,0.6012884518078577
24.832,0.7959786203970121,0.6109580823322762
24.96,0.8652787257520945,0.6493513305211933
25.088,1.2142266733874154,1.0366628283392028
25.216,0.872579478874804,0.6123030453800044
25.344,0.5592149345052767,0.33922944633790575
25.472,0.5357804317084867,0.347794997889958
25.6,0.5663365612133969,0.2786663331329618
25.728,0.5395784559431483,0.16634777326891917
25.856,0.40853935675170905,0.13117869741167232
25.984,0.3597182825355193,0.12428101704519424
26.112000000000002,0.3577619718265093,0.15597956965330476
26.240000000000002,0.39135544855507126,0.26281388831928076
26.368000000000002,0.510671573123097,0.2899350437651317
26.496000000000002,0.6357254999659788,0.32233703000150915
26.624000000000002,0.8602767536317284,0.7080762103998468
26.752,1.7830010621559103,1.8394906029784888
26.88,3.4179693106019653,3.3791490620731643
27.008,3.038344810017488,2.9047620703112003
27.136,1.375502893394032,1.2519263825929905
27.264,0.7090312304286207,0.5437913709647315
27.392,0.6042254838646061,0.4386055674199708
27.52,0.5610883595756053,0.5778816194856258
27.648,2.4348106857517577,4.412925714499844
27.776,12.15773667899674,14.49350121486771
27.904,12.615484937103208,14.057415022833453
28.032,3.2964163576379213,3.347445403540127
28.16,0.5584850518406449,0.3958479600474617
28.288,0.41478488258343044,0.14491085996591627
28.416,0.360208944087621,0.2097808805672212
28.544,0.23609561731935136,0.13729394074256135
28.672,0.11989411820328616,0.0706887246306632
28.8,0.09579649687719483,0.030666773150756877
28.928,0.19795215221331608,0.0550661715311027
29.056,0.18165139583397377,0.04660884942473413
29.184,0.17890128437757213,-0.08391457689597026
29.312,0.17784350285461295,-0.013906706176529528
29.44,0.19352056670733367,0.0465765625083308
29.568,0.2628075351080971,0.027974568858588483
29.696,0.20104368847668114,-0.06517085654852718
29.824,0.2066661567900988,-0.08441470109981664
29.952,0.26416463825489267,-0.0844747995241646
30.080000000000002,0.23152607489972965,-0.020221939750075805
30.208000000000002,0.14385111622269497,-0.03398867280589773
30.336000000000002,0.14139547454441068,-0.09593748708482794
30.464000000000002,0.15485681426998127,-0.05641993409161391
30.592000000000002,0.15936794819769393,0.04281964759888776
30.72,0.23655442660010492,0.04320915027898619
30.848,0.43440836636680086,0.10579855062581682
30.976,0.452898461239205,0.16967881101041335
31.104,0.2575831698491784,0.09687117171166404
31.232,0.203479324657041,0.013038883510553666
31.36,0.1515864171388156,-0.17946386601282252
31.488,0.14432874118428557,-0.28346107051060593
31.616,0.05972467872123437,-0.2629248556743647
31.744,0.10333576721552386,-0.2897544268945274
31.872,0.020985553154346595,-0.16711300887701122
32.0,-0.09862913039453526,0.3323763554314032
32.128,-0.1446133569092683,-0.11766993541338328
32.256,-0.08316061437339149,-0.3086292778126585
32.384,-0.16278903740157943,-0.3286384865331015
32.512,-0.15927516312262288,-0.27644907998697255
32.64,-0.18461800640788933,-0.34132471413237614
32.768,-0.1995267009715361,-0.479975188191683
32.896,-0.1618887568576266,-0.4111824962804322
33.024,-0.16085615773846534,-0.38235253779324596
33.152,-0.09185237189008351,-0.41227386374858266
33.28,-0.03422053743517062,-0.43416304684928153
33.408,-0.03831091120544256,-0.35312639009790203
33.536,-0.03425339005839667,-0.3837225828784102
33.664,0.007689348224819609,-0.45935928726246833
33.792,-0.07726517860820573,-0.44269646312564626
33.92,-0.0859701983091413,-0.4696949110026047
34.048,0.018619471639557777,-0.4895774074630765
